MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
aalénien;aaléniens;;
aba;abas;;
abaca;abacas;;
abaddir;abaddirs;;
abadie;abadies;;
abadis;;;
abaisse;abaisses;;
abaissement;abaissements;;
abaisseur;abaisseurs;;
abaissée;abaissées;;
abajoue;abajoues;;
abalone;abalones;;
abalourdissement;abalourdissements;;
abandon;abandons;;
abandonnataire;abandonnataires;;
abandonnement;abandonnements;;
abandonneur;abandonneurs;abandonneuse;abandonneuses
abandonné;abandonnés;abandonnée;abandonnées
abaque;abaques;;
abarticulation;abarticulations;;
abas;;;
abasie;abasies;;
abasourdissement;abasourdissements;;
abat;abats;;
abatage;abatages;;
abatis;;;
abattant;abattants;;
abattement;abattements;;
abatteur;abatteurs;abatteuse;abatteuses
abattoir;abattoirs;;
abattu;abattus;abattue;abattues
abatture;abattures;;
abattée;abattées;;
abax;;;
abbatial;abbatiaux;abbatiale;abbatiales
abbatiat;abbatiats;;
abbaye;abbayes;;
abbesse;abbesses;;
abbevillien;abbevilliens;abbevillienne;abbevilliennes
abbevillois;;abbevilloise;abbevilloises
abbé;abbés;;
abcès;;;
abdalas;;;
abdication;abdications;;
abdomen;abdomens;;
abdominal;abdominaux;abdominale;abdominales
abdominoscopie;abdominoscopies;;
abducteur;abducteurs;;
abduction;abductions;;
abdéritain;abdéritains;abdéritaine;abdéritaines
abecquage;abecquages;;
abecquement;abecquements;;
abecqueuse;abecqueuses;;
abeillage;abeillages;;
abeille;abeilles;;
abeiller;abeillers;;
abeillier;abeilliers;;
abeillon;abeillons;;
aber;abers;;
aberrance;aberrances;;
aberration;aberrations;;
aberrographe;aberrographes;;
aberroscope;aberroscopes;;
abessif;abessifs;;
abies;;;
abigaïl;abigaïls;;
abigéat;abigéats;;
abiogenèse;abiogenèses;;
abiose;abioses;;
abiétacée;abiétacées;;
abiétin;abiétins;abiétine;abiétines
abiétinée;abiétinées;;
abjection;abjections;;
abjuration;abjurations;;
ablatif;ablatifs;;
ablation;ablations;;
able;ables;;
ableret;ablerets;;
ablet;ablets;;
ablette;ablettes;;
ablier;abliers;;
abluant;abluants;abluante;abluantes
ablution;ablutions;;
ablégat;ablégats;;
ablégation;ablégations;;
abléphare;abléphares;;
ablépharie;ablépharies;;
abnégation;abnégations;;
aboi;abois;;
aboiement;aboiements;;
abolissement;abolissements;;
abolition;abolitions;;
abolitionnisme;abolitionnismes;;
abolitionniste;abolitionnistes;;
aboma;abomas;;
abomination;abominations;;
abondance;abondances;;
abonnage;abonnages;;
abonnataire;abonnataires;;
abonnement;abonnements;;
abonnissement;abonnissements;;
abonné;abonnés;abonnée;abonnées
abord;abords;;
abordage;abordages;;
abordeur;abordeurs;;
abordé;abordés;;
abordée;abordées;;
aborigène;aborigènes;;
abornage;abornages;;
abornement;abornements;;
abortion;abortions;;
abot;abots;;
aboteau;aboteaux;;
abouchement;abouchements;;
aboucheur;aboucheurs;;
abougrissement;abougrissements;;
aboulie;aboulies;;
aboulique;abouliques;;
about;abouts;;
aboutage;aboutages;;
aboutement;aboutements;;
aboutissant;aboutissants;;
aboutissement;aboutissements;;
aboyant;aboyants;aboyante;aboyantes
aboyeur;aboyeurs;aboyeuse;aboyeuses
abracadabra;abracadabras;;
abracadabrantisme;abracadabrantismes;;
abramide;abramides;;
abranche;abranches;;
abras;;;
abrasax;;;
abrasement;abrasements;;
abrasif;abrasifs;;
abrasimètre;abrasimètres;;
abrasin;abrasins;;
abrasion;abrasions;;
abraxas;;;
abreuvage;abreuvages;;
abreuvement;abreuvements;;
abreuveur;abreuveurs;;
abreuvoir;abreuvoirs;;
abri;abris;;
abricot;abricots;;
abricotier;abricotiers;;
abricotin;abricotins;;
abricoté;abricotés;abricotée;abricotées
abrifou;abrifous;;
abrine;abrines;;
abritement;abritements;;
abrivent;abrivents;;
abrogation;abrogations;;
abrotanum;abrotanums;;
abrotone;abrotones;;
abrotonite;abrotonites;;
abroutis;;;
abroutissement;abroutissements;;
abrupt;abrupts;;
abruption;abruptions;;
abruti;abrutis;abrutie;abruties
abrutissement;abrutissements;;
abrutisseur;abrutisseurs;abrutisseuse;abrutisseuses
abrutissoir;abrutissoirs;;
abrèvement;abrèvements;;
abréacteur;abréacteurs;;
abréaction;abréactions;;
abrégement;abrégements;;
abrégé;abrégés;;
abréviateur;abréviateurs;abréviatrice;abréviatrices
abréviatif;abréviatifs;abréviative;abréviatives
abréviation;abréviations;;
