abaissé,abaissés,abaissée,abaissées
abalourdi,abalourdis,abalourdie,abalourdies
abandonné,abandonnés,abandonnée,abandonnées
abasourdi,abasourdis,abasourdie,abasourdies
abattu,abattus,abattue,abattues
abcédé,,,
abdiqué,abdiqués,abdiquée,abdiquées
abeausi,,,
abecqué,abecqués,abecquée,abecquées
aberré,,,
abhorré,abhorrés,abhorrée,abhorrées
abjuré,abjurés,abjurée,abjurées
ablaté,ablatés,ablatée,ablatées
abloqué,abloqués,abloquée,abloquées
ablutionné,ablutionnés,ablutionnée,ablutionnées
ablué,ablués,abluée,abluées
aboli,abolis,abolie,abolies
abominé,abominés,abominée,abominées
abondé,,,
abonni,abonnis,abonnie,abonnies
abonné,abonnés,abonnée,abonnées
abordé,abordés,abordée,abordées
aborné,abornés,abornée,abornées
abouché,abouchés,abouchée,abouchées
aboulé,aboulés,aboulée,aboulées
abouti,,,
abouté,aboutés,aboutée,aboutées
aboyé,aboyés,aboyée,aboyées
abraqué,abraqués,abraquée,abraquées
abrasé,abrasés,abrasée,abrasées
abreuvé,abreuvés,abreuvée,abreuvées
abricoté,abricotés,abricotée,abricotées
abrité,abrités,abritée,abritées
abrogé,abrogés,abrogée,abrogées
abrouti,abroutis,abroutie,abrouties
abruti,abrutis,abrutie,abruties
abréagi,,,
abrégé,abrégés,abrégée,abrégées
absenté,absentés,absentée,absentées
absinthé,absinthés,absinthée,absinthées
absorbé,absorbés,absorbée,absorbées
absous,absous,absoute,absoutes
abstenu,abstenus,abstenue,abstenues
abstergé,abstergés,abstergée,abstergées
abstrait,abstraits,abstraite,abstraites
abusé,abusés,abusée,abusées
abuté,abutés,abutée,abutées
abâtardi,abâtardis,abâtardie,abâtardies
abéché,abéchés,abéchée,abéchées
abélisé,abélisés,abélisée,abélisées
abéqué,abéqués,abéquée,abéquées
abêti,abêtis,abêtie,abêties
abîmé,abîmés,abîmée,abîmées
académisé,académisés,académisée,académisées
acagnardé,acagnardés,acagnardée,acagnardées
accablé,accablés,accablée,accablées
accagné,accagnés,accagnée,accagnées
accalmi,accalmis,accalmie,accalmies
accaparé,accaparés,accaparée,accaparées
accastillé,accastillés,accastillée,accastillées
accensé,accensés,accensée,accensées
accentué,accentués,accentuée,accentuées
accepté,acceptés,acceptée,acceptées
accessoirisé,accessoirisés,accessoirisée,accessoirisées
accidenté,accidentés,accidentée,accidentées
acclamé,acclamés,acclamée,acclamées
acclimaté,acclimatés,acclimatée,acclimatées
accointé,accointés,accointée,accointées
accoisé,accoisés,accoisée,accoisées
accoladé,accoladés,accoladée,accoladées
accolé,accolés,accolée,accolées
accommodé,accommodés,accommodée,accommodées
accompagné,accompagnés,accompagnée,accompagnées
accompli,accomplis,accomplie,accomplies
accordé,accordés,accordée,accordées
accoré,accorés,accorée,accorées
accosté,accostés,accostée,accostées
accoté,accotés,accotée,accotées
accouardi,accouardis,accouardie,accouardies
accouché,accouchés,accouchée,accouchées
accoudé,accoudés,accoudée,accoudées
accouplé,accouplés,accouplée,accouplées
accourci,accourcis,accourcie,accourcies
accouru,accourus,accourue,accourues
accoutré,accoutrés,accoutrée,accoutrées
accoutumé,accoutumés,accoutumée,accoutumées
accouvé,accouvés,accouvée,accouvées
accoué,accoués,accouée,accouées
accrassiné,accrassinés,accrassinée,accrassinées
accroché,accrochés,accrochée,accrochées
accroupetonné,accroupetonnés,accroupetonnée,accroupetonnées
accroupi,accroupis,accroupie,accroupies
accru,accrus,accrue,accrues
accrédité,accrédités,accréditée,accréditées
accueilli,accueillis,accueillie,accueillies
acculturé,acculturés,acculturée,acculturées
acculé,acculés,acculée,acculées
accumulé,accumulés,accumulée,accumulées
accusé,accusés,accusée,accusées
accédé,,,
accéléré,accélérés,accélérée,accélérées
acensé,acensés,acensée,acensées
achalandé,achalandés,achalandée,achalandées
acharné,acharnés,acharnée,acharnées
acheminé,acheminés,acheminée,acheminées
acheté,achetés,achetée,achetées
achevé,achevés,achevée,achevées
achoppé,,,
achromatisé,achromatisés,achromatisée,achromatisées
acidifié,acidifiés,acidifiée,acidifiées
acidulé,acidulés,acidulée,acidulées
aciselé,aciselés,aciselée,aciselées
aciérisé,aciérisés,aciérisée,aciérisées
aciéré,aciérés,aciérée,aciérées
acliqué,acliqués,acliquée,acliquées
