MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
aalénien;aaléniens;aalénienne;aaléniennes
abaissable;abaissables;;abaissants
abaissant;abaissants;abaissante;abaissantes
abaisseur;abaisseurs;abaisseuse;abaisseuses
abaissé;abaissés;abaissée;abaissées
abandonné;abandonnés;abandonnée;abandonnées
abarticulaire;abarticulaires;;abasourdissants
abasourdissant;abasourdissants;abasourdissante;abasourdissantes
abattable;abattables;;abattants
abattant;abattants;abattante;abattantes
abattu;abattus;abattue;abattues
abbatial;abbatiaux;abbatiale;abbatiales
abbevillien;abbevilliens;abbevillienne;abbevilliennes
abbevillois;abbevilloise;abbevilloises;
abdicataire;abdicataires;;abdominaux
abdominal;abdominaux;abdominale;abdominales
abdominoscopique;abdominoscopiques;;abducteurs
abducteur;abducteurs;abductrice;abductrices
abdéritain;abdéritains;abdéritaine;abdéritaines
abeiller;abeillers;abeillère;abeillères
abeillé;abeillés;abeillée;abeillées
abhorrable;abhorrables;;abhorrés
abhorré;abhorrés;abhorrée;abhorrées
abiotique;abiotiques;;abiétins
abiétin;abiétins;abiétine;abiétines
abiétiné;abiétinés;abiétinée;abiétinées
abiétique;abiétiques;;abjects
abject;abjects;abjecte;abjectes
abjurateur;abjurateurs;abjuratrice;abjuratrices
abjuratoire;abjuratoires;;abluants
abluant;abluants;abluante;abluantes
ablépharoplastique;ablépharoplastiques;;abolissables
abolissable;abolissables;;abolitifs
abolitif;abolitifs;abolitive;abolitives
abolitionniste;abolitionnistes;;abominables
abominable;abominables;;abondants
abondant;abondants;abondante;abondantes
abonnable;abonnables;;abonnataires
abonnataire;abonnataires;;abonnis
abonni;abonnis;abonnie;abonnies
aboral;aboraux;aborale;aborales
abordable;abordables;;abordeurs
abordeur;abordeurs;;aborigènes
aborigène;aborigènes;;abornés
aborné;abornés;abornée;abornées
abortif;abortifs;abortive;abortives
abotté;abottées;abotté;abottés
aboté;abotées;aboté;abotés
abougri;abougris;abougrie;abougries
aboulique;abouliques;;aboutis
abouti;aboutis;aboutie;abouties
abouté;aboutés;aboutée;aboutées
aboyant;aboyants;aboyante;aboyantes
aboyeur;aboyeurs;aboyeuse;aboyeuses
abracadabrant;abracadabrants;abracadabrante;abracadabrantes
abracadabrantesque;abracadabrantesques;;abranches
abranche;abranches;;abrasifs
abrasif;abrasifs;abrasive;abrasives
abricoté;abricotés;abricotée;abricotées
abritant;abritants;abritante;abritantes
abrité;abrités;abritée;abritées
abrogeable;abrogeables;;abrotonoïdes
abrotonoïde;abrotonoïdes;;abrupts
abrupt;abrupts;abrupte;abruptes
abruptipenné;abruptipennés;abruptipennée;abruptipennées
abruti;abrutis;abrutie;abruties
abrutissant;abrutissants;abrutissante;abrutissantes
abrutisseur;abrutisseurs;abrutisseuse;abrutisseuses
abrégeable;abrégeables;;abrégés
abrégé;abrégés;abrégée;abrégées
abréviateur;abréviateurs;abréviatrice;abréviatrices
abréviatif;abréviatifs;abréviative;abréviatives
abrévié;abréviés;abréviée;abréviées
absalonien;absaloniens;absalonienne;absaloniennes
abscons;absconse;absconses;
absent;absents;absente;absentes
absentéiste;absentéistes;;absidaux
absidal;absidaux;absidale;absidales
absinthique;absinthiques;;absinthés
absinthé;absinthés;absinthée;absinthées
absolu;absolus;absolue;absolues
absoluteur;absoluteurs;absolutrice;absolutrices
absolutif;absolutifs;absolutive;absolutives
absolutionnel;absolutionnels;absolutionnelle;absolutionnelles
absolutiste;absolutistes;;absolutoires
absolutoire;absolutoires;;absolvants
absolvant;absolvants;absolvante;absolvantes
absorbable;absorbables;;absorbants
absorbant;absorbants;absorbante;absorbantes
absorbeur;absorbeurs;absorbeuse;absorbeuses
absorbé;absorbés;absorbée;absorbées
absorptif;absorptifs;absorptive;absorptives
abstentionniste;abstentionnistes;;abstergents
abstergent;abstergents;abstergente;abstergentes
abstersif;abstersifs;abstersive;abstersives
abstinent;abstinents;abstinente;abstinentes
abstracteur;abstracteurs;abstractrice;abstractrices
abstractif;abstractifs;abstractive;abstractives
abstrait;abstraits;abstraite;abstraites
abstrayant;abstrayants;abstrayante;abstrayantes
abstrus;abstruse;abstruses;
