abadé;abadés;abadée;abadées
abaissé;abaissés;abaissée;abaissées
abalobé;abalobés;abalobée;abalobées
abalourdi;abalourdis;abalourdie;abalourdies
abandonné;abandonnés;abandonnée;abandonnées
abasourdi;abasourdis;abasourdie;abasourdies
abatu;abatus;abatue;abatues
abattu;abattus;abattue;abattues
abbattu;abbattus;abbattue;abbattues
abcédé;abcédés;abcédée;abcédées
abdiqué;abdiqués;abdiquée;abdiquées
abeaudi;abeaudis;abeaudie;abeaudies
abecqué;abecqués;abecquée;abecquées
aberré;aberrés;aberrée;aberrées
abhorré;abhorrés;abhorrée;abhorrées
abiché;abichés;abichée;abichées
abigoti;abigotis;abigotie;abigoties
abjuré;abjurés;abjurée;abjurées
ablué;ablués;abluée;abluées
ablutionné;ablutionnés;ablutionnée;ablutionnées
aboli;abolis;abolie;abolies
abominé;abominés;abominée;abominées
abondé;abondés;abondée;abondées
abonné;abonnés;abonnée;abonnées
abonni;abonnis;abonnie;abonnies
abordé;abordés;abordée;abordées
aborné;abornés;abornée;abornées
aboté;abotés;abotée;abotées
abotté;abottés;abottée;abottées
abouché;abouchés;abouchée;abouchées
abougri;abougris;abougrie;abougries
aboulé;aboulés;aboulée;aboulées
abouté;aboutés;aboutée;aboutées
abouti;aboutis;aboutie;abouties
aboutonné;aboutonnés;aboutonnée;aboutonnées
aboyé;aboyés;aboyée;aboyées
abracadabré;abracadabrés;abracadabrée;abracadabrées
abraqué;abraqués;abraquée;abraquées
abrasé;abrasés;abrasée;abrasées
abreuvé;abreuvés;abreuvée;abreuvées
abreyé;abreyés;abreyée;abreyées
abricoté;abricotés;abricotée;abricotées
abrié;abriés;abriée;abriées
abrité;abrités;abritée;abritées
abrogé;abrogés;abrogée;abrogées
abrouti;abroutis;abroutie;abrouties
abruti;abrutis;abrutie;abruties
abréagi;abréagis;abréagie;abréagies
abrégé;abrégés;abrégée;abrégées
abscondé;abscondés;abscondée;abscondées
abscondu;abscondus;abscondue;abscondues
absconsé;absconsés;absconsée;absconsées
absenté;absentés;absentée;absentées
absinthé;absinthés;absinthée;absinthées
absolutisé;absolutisés;absolutisée;absolutisées
absorbanté;absorbantés;absorbantée;absorbantées
absorbé;absorbés;absorbée;absorbées
absout;absouts;absoute;absoutes
abstenu;abstenus;abstenue;abstenues
abstergé;abstergés;abstergée;abstergées
abstrait;abstraits;abstraite;abstraites
abusé;abusés;abusée;abusées
abuté;abutés;abutée;abutées
abâtardi;abâtardis;abâtardie;abâtardies
abéché;abéchés;abéchée;abéchées
abéqué;abéqués;abéquée;abéquées
abêtifié;abêtifiés;abêtifiée;abêtifiées
abêti;abêtis;abêtie;abêties
abîmé;abîmés;abîmée;abîmées
acaché;acachés;acachée;acachées
académifié;académifiés;académifiée;académifiées
académisé;académisés;académisée;académisées
académisié;académisiés;académisiée;académisiées
acagnardé;acagnardés;acagnardée;acagnardées
acalifourchonné;acalifourchonnés;acalifourchonnée;acalifourchonnées
acanillé;acanillés;acanillée;acanillées
acapé;acapés;acapée;acapées
acarêmé;acarêmés;acarêmée;acarêmées
accablé;accablés;accablée;accablées
accagné;accagnés;accagnée;accagnées
accalmi;accalmis;accalmie;accalmies
accaparé;accaparés;accaparée;accaparées
accastillé;accastillés;accastillée;accastillées
accensé;accensés;accensée;accensées
accentué;accentués;accentuée;accentuées
accepté;acceptés;acceptée;acceptées
accidenté;accidentés;accidentée;accidentées
accipé;accipés;accipée;accipées
acclamé;acclamés;acclamée;acclamées
acclampé;acclampés;acclampée;acclampées
acclimaté;acclimatés;acclimatée;acclimatées
accœuré;accœurés;accœurée;accœurées
accointé;accointés;accointée;accointées
accoisé;accoisés;accoisée;accoisées
accoité;accoités;accoitée;accoitées
accoladé;accoladés;accoladée;accoladées
accolé;accolés;accolée;accolées
accommodé;accommodés;accommodée;accommodées
accompagné;accompagnés;accompagnée;accompagnées
accompli;accomplis;accomplie;accomplies
accoquiné;accoquinés;accoquinée;accoquinées
accordé;accordés;accordée;accordées
accoré;accorés;accorée;accorées
accosté;accostés;accostée;accostées
accoté;accotés;accotée;accotées
accouardi;accouardis;accouardie;accouardies
accouché;accouchés;accouchée;accouchées
accoudé;accoudés;accoudée;accoudées
accoufflé;accoufflés;accoufflée;accoufflées
accouflé;accouflés;accouflée;accouflées
accouplé;accouplés;accouplée;accouplées
accourci;accourcis;accourcie;accourcies
accouru;accourus;accourue;accourues
accoursé;accoursés;accoursée;accoursées
accoutré;accoutrés;accoutrée;accoutrées
accoutumé;accoutumés;accoutumée;accoutumées
accouvé;accouvés;accouvée;accouvées
accrassiné;accrassinés;accrassinée;accrassinées
accravanté;accravantés;accravantée;accravantées
accroché;accrochés;accrochée;accrochées
accroupi;accroupis;accroupie;accroupies
accrouptonné;accrouptonnés;accrouptonnée;accrouptonnées
accrû;accrûs;accrûe;accrûes
accrédité;accrédités;accréditée;accréditées
accueilli;accueillis;accueillie;accueillies
acculé;acculés;acculée;acculées
acculturé;acculturés;acculturée;acculturées
accumulé;accumulés;accumulée;accumulées
accusé;accusés;accusée;accusées
accédé;accédés;accédée;accédées
accéléré;accélérés;accélérée;accélérées
acensé;acensés;acensée;acensées
acertainé;acertainés;acertainée;acertainées
achalandé;achalandés;achalandée;achalandées
achalé;achalés;achalée;achalées
acharné;acharnés;acharnée;acharnées
acheminé;acheminés;acheminée;acheminées
acheté;achetés;achetée;achetées
achevalé;achevalés;achevalée;achevalées
achevé;achevés;achevée;achevées
achoppé;achoppés;achoppée;achoppées
achromatisé;achromatisés;achromatisée;achromatisées
acidifié;acidifiés;acidifiée;acidifiées
acidulé;acidulés;acidulée;acidulées
aciéré;aciérés;aciérée;aciérées
acliqué;acliqués;acliquée;acliquées
acoquillé;acoquillés;acoquillée;acoquillées
acoquiné;acoquinés;acoquinée;acoquinées
acoufflé;acoufflés;acoufflée;acoufflées
acouflé;acouflés;acouflée;acouflées
acouiné;acouinés;acouinée;acouinées
acouté;acoutés;acoutée;acoutées
acquiescé;acquiescés;acquiescée;acquiescées
acquitté;acquittés;acquittée;acquittées
acquis;;acquise;acquises
acquêté;acquêtés;acquêtée;acquêtées
acravanté;acravantés;acravantée;acravantées
acrobatisé;acrobatisés;acrobatisée;acrobatisées
acromégalisé;acromégalisés;acromégalisée;acromégalisées
acté;actés;actée;actées
actionné;actionnés;actionnée;actionnées
activé;activés;activée;activées
actualisé;actualisés;actualisée;actualisées
actué;actués;actuée;actuées
actéonisé;actéonisés;actéonisée;actéonisées
acuminé;acuminés;acuminée;acuminées
acuponcturé;acuponcturés;acuponcturée;acuponcturées
acéré;acérés;acérée;acérées
acétifié;acétifiés;acétifiée;acétifiées
acétylé;acétylés;acétylée;acétylées
adapté;adaptés;adaptée;adaptées
additionné;additionnés;additionnée;additionnées
adenté;adentés;adentée;adentées
adextré;adextrés;adextrée;adextrées
adhéré;adhérés;adhérée;adhérées
adiré;adirés;adirée;adirées
adjectivé;adjectivés;adjectivée;adjectivées
adjoint;adjoints;adjointe;adjointes
adjugé;adjugés;adjugée;adjugées
adjuré;adjurés;adjurée;adjurées
adjuvé;adjuvés;adjuvée;adjuvées
admis;;admise;admises
administrationalisé;administrationalisés;administrationalisée;administrationalisées
administré;administrés;administrée;administrées
admiré;admirés;admirée;admirées
admonesté;admonestés;admonestée;admonestées
admonété;admonétés;admonétée;admonétées
adomestiqué;adomestiqués;adomestiquée;adomestiquées
adonisé;adonisés;adonisée;adonisées
adonné;adonnés;adonnée;adonnées
adopté;adoptés;adoptée;adoptées
adoré;adorés;adorée;adorées
adorné;adornés;adornée;adornées
adossé;adossés;adossée;adossées
adoubé;adoubés;adoubée;adoubées
adouci;adoucis;adoucie;adoucies
adressé;adressés;adressée;adressées
adropé;adropés;adropée;adropées
adsorbé;adsorbés;adsorbée;adsorbées
adulé;adulés;adulée;adulées
adultéré;adultérés;adultérée;adultérées
adultérisé;adultérisés;adultérisée;adultérisées
aduré;adurés;adurée;adurées
advenu;advenus;advenue;advenues
adverbialisé;adverbialisés;adverbialisée;adverbialisées
adéquaté;adéquatés;adéquatée;adéquatées
affabulé;affabulés;affabulée;affabulées
affadi;affadis;affadie;affadies
affaibli;affaiblis;affaiblie;affaiblies
affainéanti;affainéantis;affainéantie;affainéanties
affairé;affairés;affairée;affairées
affaissé;affaissés;affaissée;affaissées
affaité;affaités;affaitée;affaitées
affalé;affalés;affalée;affalées
affamé;affamés;affamée;affamées
affaîté;affaîtés;affaîtée;affaîtées
affecté;affectés;affectée;affectées
affectionné;affectionnés;affectionnée;affectionnées
affené;affenés;affenée;affenées
affermé;affermés;affermée;affermées
affermi;affermis;affermie;affermies
affiché;affichés;affichée;affichées
affidé;affidés;affidée;affidées
affié;affiés;affiée;affiées
affilé;affilés;affilée;affilées
affilié;affiliés;affiliée;affiliées
affiné;affinés;affinée;affinées
affirmé;affirmés;affirmée;affirmées
affistolé;affistolés;affistolée;affistolées
afflanqué;afflanqués;afflanquée;afflanquées
afflatté;afflattés;afflattée;afflattées
affleuré;affleurés;affleurée;affleurées
affligé;affligés;affligée;affligées
affloué;affloués;afflouée;afflouées
afflué;afflués;affluée;affluées
affolé;affolés;affolée;affolées
affoli;affolis;affolie;affolies
affondé;affondés;affondée;affondées
affondré;affondrés;affondrée;affondrées
afforesté;afforestés;afforestée;afforestées
affouagé;affouagés;affouagée;affouagées
affouillé;affouillés;affouillée;affouillées
affouragé;affouragés;affouragée;affouragées
affourché;affourchés;affourchée;affourchées
affourragé;affourragés;affourragée;affourragées
affranchi;affranchis;affranchie;affranchies
affriandé;affriandés;affriandée;affriandées
affriolé;affriolés;affriolée;affriolées
affronté;affrontés;affrontée;affrontées
affruité;affruités;affruitée;affruitées
affrété;affrétés;affrétée;affrétées
affrôlé;affrôlés;affrôlée;affrôlées
affublé;affublés;affublée;affublées
affuré;affurés;affurée;affurées
afféagé;afféagés;afféagée;afféagées
affûté;affûtés;affûtée;affûtées
afistolé;afistolés;afistolée;afistolées
africanisé;africanisés;africanisée;africanisées
agacé;agacés;agacée;agacées
agaillardi;agaillardis;agaillardie;agaillardies
aganté;agantés;agantée;agantées
agaté;agatés;agatée;agatées
agatifié;agatifiés;agatifiée;agatifiées
agatisé;agatisés;agatisée;agatisées
agencé;agencés;agencée;agencées
agenouillé;agenouillés;agenouillée;agenouillées
aggloméré;agglomérés;agglomérée;agglomérées
agglutiné;agglutinés;agglutinée;agglutinées
aggravé;aggravés;aggravée;aggravées
agioté;agiotés;agiotée;agiotées
agi;agis;agie;agies
agité;agités;agitée;agitées
agléti;aglétis;aglétie;agléties
agnelé;agnelés;agnelée;agnelées
agoni;agonis;agonie;agonies
agonisé;agonisés;agonisée;agonisées
agrafé;agrafés;agrafée;agrafées
agrainé;agrainés;agrainée;agrainées
agrandi;agrandis;agrandie;agrandies
agrappé;agrappés;agrappée;agrappées
agrené;agrenés;agrenée;agrenées
agressé;agressés;agressée;agressées
agriché;agrichés;agrichée;agrichées
agriffé;agriffés;agriffée;agriffées
agrinché;agrinchés;agrinchée;agrinchées
agrippé;agrippés;agrippée;agrippées
agroué;agroués;agrouée;agrouées
agroupé;agroupés;agroupée;agroupées
agréanté;agréantés;agréantée;agréantées
agréé;agréés;agréée;agréées
agrégé;agrégés;agrégée;agrégées
agrémenté;agrémentés;agrémentée;agrémentées
aguerri;aguerris;aguerrie;aguerries
aguetté;aguettés;aguettée;aguettées
aguiché;aguichés;aguichée;aguichées
ahané;ahanés;ahanée;ahanées
aheurté;aheurtés;aheurtée;aheurtées
ahonté;ahontés;ahontée;ahontées
ahuri;ahuris;ahurie;ahuries
aidé;aidés;aidée;aidées
aigri;aigris;aigrie;aigries
aiguayé;aiguayés;aiguayée;aiguayées
aiguillé;aiguillés;aiguillée;aiguillées
aiguilleté;aiguilletés;aiguilletée;aiguilletées
aiguillonné;aiguillonnés;aiguillonnée;aiguillonnées
aiguisé;aiguisés;aiguisée;aiguisées
ailé;ailés;ailée;ailées
aillé;aillés;aillée;aillées
aimanté;aimantés;aimantée;aimantées
aimé;aimés;aimée;aimées
airé;airés;airée;airées
ajointé;ajointés;ajointée;ajointées
ajouré;ajourés;ajourée;ajourées
ajourné;ajournés;ajournée;ajournées
ajouté;ajoutés;ajoutée;ajoutées
ajusté;ajustés;ajustée;ajustées
ajuté;ajutés;ajutée;ajutées
alambiqué;alambiqués;alambiquée;alambiquées
alangouré;alangourés;alangourée;alangourées
alangouri;alangouris;alangourie;alangouries
alangui;alanguis;alanguie;alanguies
alargué;alargués;alarguée;alarguées
alarmé;alarmés;alarmée;alarmées
albuminé;albuminés;albuminée;albuminées
alcalinisé;alcalinisés;alcalinisée;alcalinisées
alcalisé;alcalisés;alcalisée;alcalisées
alcoolisé;alcoolisés;alcoolisée;alcoolisées
alenti;alentis;alentie;alenties
alerté;alertés;alertée;alertées
aleviné;alevinés;alevinée;alevinées
algébrisé;algébrisés;algébrisée;algébrisées
aligné;alignés;alignée;alignées
alimenté;alimentés;alimentée;alimentées
alité;alités;alitée;alitées
aliéné;aliénés;aliénée;aliénées
allaité;allaités;allaitée;allaitées
allé;allés;allée;allées
allié;alliés;alliée;alliées
allitéré;allitérés;allitérée;allitérées
allocutionné;allocutionnés;allocutionnée;allocutionnées
allongé;allongés;allongée;allongées
alloti;allotis;allotie;alloties
alloué;alloués;allouée;allouées
alludé;alludés;alludée;alludées
allumé;allumés;allumée;allumées
allusionné;allusionnés;allusionnée;allusionnées
alluvionné;alluvionnés;alluvionnée;alluvionnées
alléché;alléchés;alléchée;alléchées
allégé;allégés;allégée;allégées
allégi;allégis;allégie;allégies
allégorisé;allégorisés;allégorisée;allégorisées
allégré;allégrés;allégrée;allégrées
allégué;allégués;alléguée;alléguées
allégéri;allégéris;allégérie;allégéries
alourdi;alourdis;alourdie;alourdies
aloyé;aloyés;aloyée;aloyées
alphabétisé;alphabétisés;alphabétisée;alphabétisées
alterné;alternés;alternée;alternées
altéré;altérés;altérée;altérées
aluminé;aluminés;aluminée;aluminées
aluné;alunés;alunée;alunées
aluni;alunis;alunie;alunies
alâchi;alâchis;alâchie;alâchies
alésé;alésés;alésée;alésées
amabilisé;amabilisés;amabilisée;amabilisées
amadoué;amadoués;amadouée;amadouées
amaigri;amaigris;amaigrie;amaigries
amalgamé;amalgamés;amalgamée;amalgamées
