,,Antonine,Antonines
,,Appienne,Appiennes
Dieu possible,,Dieu possible,
IG sécrétoire,,IG sécrétoire,
,,Pennine,Pennines
,,Rudolphine,Rudolphines
SS,SS,SS,SS
,,Sitifienne,Sitifiennes
,,Tingitane,Tingitanes
,,Trojane,Trojanes
aalénien,aaléniens,aalénienne,aaléniennes
abactérien,abactériens,abactérienne,abactériennes
abaissable,abaissables,abaissable,abaissables
abaissant,abaissants,abaissante,abaissantes
abaisseur,abaisseurs,,
abaissé,abaissés,abaissée,abaissées
abandonnique,abandonniques,abandonnique,abandonniques
abandonné,abandonnés,abandonnée,abandonnées
abarticulaire,abarticulaires,abarticulaire,abarticulaires
abasourdi,abasourdis,abasourdie,abasourdies
abasourdissant,abasourdissants,abasourdissante,abasourdissantes
abattable,abattables,abattable,abattables
abattu,abattus,abattue,abattues
abaza,abazas,abaza,abazas
abbasside,abbassides,abbasside,abbassides
abbatial,abbatiaux,abbatiale,abbatiales
abbevillien,abbevilliens,abbevillienne,abbevilliennes
abcédant,abcédants,abcédante,abcédantes
abdicataire,abdicataires,abdicataire,abdicataires
abdicatif,abdicatifs,abdicative,abdicatives
abdominal,abdominaux,abdominale,abdominales
abdomino\-génital,,,
,abdomino\-génitaux,,
abdomino\-thoracique,,abdomino\-thoracique,
abducteur,abducteurs,abductrice,abductrices
abeiller,abeillers,abeillère,abeillères
aberrant,aberrants,aberrante,aberrantes
abgal,abgals,abgal,abgals
abiotique,abiotiques,abiotique,abiotiques
abiétin,abiétins,abiétine,abiétines
abiétique,abiétiques,abiétique,abiétiques
abiétoformophénolique,abiétoformophénoliques,abiétoformophénolique,abiétoformophénoliques
abiétoglycérophtalique,abiétoglycérophtaliques,abiétoglycérophtalique,abiétoglycérophtaliques
abiétomaléique,abiétomaléiques,abiétomaléique,abiétomaléiques
abject,abjects,abjecte,abjectes
abjurant,abjurants,abjurante,abjurantes
abjuratoire,abjuratoires,abjuratoire,abjuratoires
abkhaze,abkhazes,abkhaze,abkhazes
ablatif,ablatifs,ablative,ablatives
aboli,abolis,abolie,abolies
abolitionniste,abolitionnistes,abolitionniste,abolitionnistes
abominable,abominables,abominable,abominables
abondanciste,abondancistes,abondanciste,abondancistes
abondant,abondants,abondante,abondantes
abonnable,abonnables,abonnable,abonnables
abonnataire,abonnataires,abonnataire,abonnataires
abonné,abonnés,abonnée,abonnées
abordable,abordables,abordable,abordables
abordé,abordés,abordée,abordées
aborigène,aborigènes,aborigène,aborigènes
abortif,abortifs,abortive,abortives
aboulique,abouliques,aboulique,abouliques
abouti,aboutis,aboutie,abouties
aboutissant,aboutissants,aboutissante,aboutissantes
abouté,aboutés,aboutée,aboutées
abracadabrant,abracadabrants,abracadabrante,abracadabrantes
abranche,abranches,abranche,abranches
abrasif,abrasifs,abrasive,abrasives
abricot,abricot,abricot,abricot
abricoté,abricotés,abricotée,abricotées
abrité,abrités,abritée,abritées
abrogatif,abrogatifs,abrogative,abrogatives
abrogatoire,abrogatoires,abrogatoire,abrogatoires
abrogeable,abrogeables,abrogeable,abrogeables
abrouti,abroutis,abroutie,abrouties
abrupt,abrupts,abrupte,abruptes
abruti,abrutis,abrutie,abruties
abruti de sommeil,abrutis de sommeil,abrutie de sommeil,abruties de sommeil
abrutissant,abrutissants,abrutissante,abrutissantes
abrutisseur,abrutisseurs,abrutisseuse,abrutisseuses
abruzzain,abruzzains,abruzzaine,abruzzaines
abruzzais,abruzzais,abruzzaise,abruzzaises
abrégeable,abrégeables,abrégeable,abrégeables
abréviateur,abréviateurs,abréviatrice,abréviatrices
abréviatif,abréviatifs,abréviative,abréviatives
abscissique,abscissiques,abscissique,abscissiques
abscons,abscons,absconse,absconses
absent,absents,absente,absentes
absentéiste,absentéistes,absentéiste,absentéistes
absidal,absidaux,absidale,absidales
absidial,absidiaux,absidiale,absidiales
absolu,absolus,absolue,absolues
